system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
2782,7.049844741821289,Trans Nzoia,1804.0,23.03478240966797,0.3839612603187561,1565.9140625,0.8967912081931365,34.883206947613,0.5741715431213379,1008.7085571289062,1.0,2024,7.049844741821289,"{""type"":""Point"",""coordinates"":[34.883206947613,0.8967912081931365]}"
2783,6.004417419433594,Trans Nzoia,2114.0,28.082609176635742,0.30338579416275024,1532.4256591796875,1.087790285156766,34.78158657693747,0.5140542984008789,888.1694946289062,1.0,2024,6.004417419433594,"{""type"":""Point"",""coordinates"":[34.78158657693747,1.087790285156766]}"
2791,7.035614967346191,Trans Nzoia,1926.0,22.517391204833984,0.3915516138076782,1309.0179443359375,1.13227790474678,35.06010153944569,0.5966269373893738,974.173583984375,1.0,2024,7.035614967346191,"{""type"":""Point"",""coordinates"":[35.06010153944569,1.13227790474678]}"
2794,7.234766960144043,Trans Nzoia,1830.0,22.134782791137695,0.4027392566204071,1327.4505615234375,0.9965947549194374,35.050312916700214,0.6075602769851685,994.4949951171875,1.0,2024,7.234766960144043,"{""type"":""Point"",""coordinates"":[35.050312916700214,0.9965947549194374]}"
2797,7.399291515350342,Trans Nzoia,1848.0,22.1130428314209,0.41107094287872314,1640.1566162109375,1.157130295687759,34.884635511137894,0.5116925835609436,916.169677734375,1.0,2024,7.399291515350342,"{""type"":""Point"",""coordinates"":[34.884635511137894,1.157130295687759]}"
2799,7.149111747741699,Trans Nzoia,1784.0,22.895652770996094,0.445313423871994,1388.3951416015625,0.9067588115330911,34.9844323141382,0.602471113204956,1042.5777587890625,1.0,2024,7.149111747741699,"{""type"":""Point"",""coordinates"":[34.9844323141382,0.9067588115330911]}"
2800,7.12930154800415,Trans Nzoia,1941.0,19.443477630615234,0.3804003894329071,1640.1566162109375,1.2174879708846806,34.93342392684527,0.4635453522205353,972.9393310546875,1.0,2024,7.12930154800415,"{""type"":""Point"",""coordinates"":[34.93342392684527,1.2174879708846806]}"
2801,6.533920764923096,Trans Nzoia,1942.0,23.947826385498047,0.38736626505851746,1303.348388671875,1.1821650217399804,35.031080170808565,0.5900353789329529,860.8521118164062,1.0,2024,6.533920764923096,"{""type"":""Point"",""coordinates"":[35.031080170808565,1.1821650217399804]}"
2802,7.122653961181641,Trans Nzoia,1871.0,22.10869598388672,0.348956823348999,1587.5098876953125,1.13365462874136,34.85358404838347,0.46498754620552063,896.3999633789062,1.0,2024,7.122653961181641,"{""type"":""Point"",""coordinates"":[34.85358404838347,1.13365462874136]}"
2804,6.493753433227539,Trans Nzoia,1711.0,28.03913116455078,0.5294254422187805,1605.135986328125,0.8456546363727313,34.81037924393065,0.7241086363792419,968.0701904296875,1.0,2024,6.493753433227539,"{""type"":""Point"",""coordinates"":[34.81037924393065,0.8456546363727313]}"
2805,5.361212730407715,Trans Nzoia,1890.0,25.352174758911133,0.42554712295532227,1362.5670166015625,1.1030885964657602,35.174064411460584,0.6826784014701843,1263.162353515625,1.0,2024,5.361212730407715,"{""type"":""Point"",""coordinates"":[35.174064411460584,1.1030885964657602]}"
2810,6.601288318634033,Trans Nzoia,1957.0,25.021739959716797,0.28906819224357605,1415.5245361328125,1.0128386276426236,34.83385860817242,0.4558587372303009,849.1492919921875,1.0,2024,6.601288318634033,"{""type"":""Point"",""coordinates"":[34.83385860817242,1.0128386276426236]}"
2812,6.437509059906006,Trans Nzoia,1844.0,21.369565963745117,0.38040590286254883,1339.5623779296875,0.933829037418701,35.124578248103596,0.5987090468406677,964.28857421875,1.0,2024,6.437509059906006,"{""type"":""Point"",""coordinates"":[35.124578248103596,0.933829037418701]}"
2814,6.211884021759033,Trans Nzoia,1829.0,24.0,0.38184306025505066,1448.66259765625,0.9512551026325871,35.16924807764377,0.5305423140525818,1027.66796875,1.0,2024,6.211884021759033,"{""type"":""Point"",""coordinates"":[35.16924807764377,0.9512551026325871]}"
2816,6.443169593811035,Trans Nzoia,2070.0,24.373912811279297,0.47034314274787903,1415.5245361328125,1.002131671091919,34.79435168120108,0.6807926893234253,954.0535278320312,1.0,2024,6.443169593811035,"{""type"":""Point"",""coordinates"":[34.79435168120108,1.002131671091919]}"
2818,6.516437530517578,Trans Nzoia,1953.0,22.700000762939453,0.33508414030075073,1303.348388671875,1.1783240865428222,35.03685057482252,0.4859779477119446,860.8521118164062,1.0,2024,6.516437530517578,"{""type"":""Point"",""coordinates"":[35.03685057482252,1.1783240865428222]}"
2824,7.024271488189697,Trans Nzoia,1754.0,22.252174377441406,0.2996019124984741,1565.9140625,0.8666013421791321,34.92445066478876,0.43358540534973145,986.4015502929688,1.0,2024,7.024271488189697,"{""type"":""Point"",""coordinates"":[34.92445066478876,0.8666013421791321]}"
2833,6.2120819091796875,Trans Nzoia,1899.0,21.017391204833984,0.3475313186645508,1327.4505615234375,0.9909756019246343,35.11328517664201,0.5639349222183228,1042.0404052734375,1.0,2024,6.2120819091796875,"{""type"":""Point"",""coordinates"":[35.11328517664201,0.9909756019246343]}"
2834,6.896536350250244,Trans Nzoia,1915.0,21.004348754882812,0.2483757585287094,1587.5098876953125,1.0611616249594384,34.85757564402291,0.3931758999824524,908.87646484375,1.0,2024,6.896536350250244,"{""type"":""Point"",""coordinates"":[34.85757564402291,1.0611616249594384]}"
2839,6.72006368637085,Trans Nzoia,2081.0,20.595651626586914,0.2649669945240021,1653.9757080078125,1.178618311986616,34.78660736479543,0.398531973361969,878.0504150390625,1.0,2024,6.72006368637085,"{""type"":""Point"",""coordinates"":[34.78660736479543,1.178618311986616]}"
2842,6.919578552246094,Trans Nzoia,1877.0,21.96521759033203,0.39216431975364685,1327.4505615234375,1.0473935494286595,35.07989003499286,0.5897026658058167,969.0385131835938,1.0,2024,6.919578552246094,"{""type"":""Point"",""coordinates"":[35.07989003499286,1.0473935494286595]}"
2846,6.779204368591309,Trans Nzoia,1777.0,25.1130428314209,0.4865626096725464,1472.4818115234375,0.9874486025222182,34.90788046030909,0.6452323198318481,984.7139892578125,1.0,2024,6.779204368591309,"{""type"":""Point"",""coordinates"":[34.90788046030909,0.9874486025222182]}"
2848,7.31579065322876,Trans Nzoia,1898.0,23.282608032226562,0.3401978611946106,1640.1566162109375,1.1888536879383362,34.940371810663144,0.47493651509284973,964.7963256835938,1.0,2024,7.31579065322876,"{""type"":""Point"",""coordinates"":[34.940371810663144,1.1888536879383362]}"
2851,6.000495433807373,Trans Nzoia,1869.0,24.473913192749023,0.3644877076148987,1448.66259765625,1.0474760231599864,35.17794634730645,0.5412543416023254,1005.9006958007812,1.0,2024,6.000495433807373,"{""type"":""Point"",""coordinates"":[35.17794634730645,1.0474760231599864]}"
2852,6.083771705627441,Trans Nzoia,1875.0,22.060869216918945,0.25810372829437256,1448.66259765625,1.0422303776571924,35.18560059175778,0.4299658536911011,1005.9006958007812,1.0,2024,6.083771705627441,"{""type"":""Point"",""coordinates"":[35.18560059175778,1.0422303776571924]}"
2858,7.091183185577393,Trans Nzoia,1890.0,22.943477630615234,0.42896074056625366,1653.9757080078125,1.2066100752504287,34.83189988071866,0.5696864724159241,881.7891235351562,1.0,2024,7.091183185577393,"{""type"":""Point"",""coordinates"":[34.83189988071866,1.2066100752504287]}"
